time,open,high,low,close,volume
2023-10-02,171.22,177.99,170.82,177.49,260574027
2023-10-09,176.81,182.34,175.8,178.85,241839090
2023-10-16,176.75,179.075,172.64,172.88,288377600
2023-10-23,170.91,174.01,165.67,168.22,286078102
2023-10-30,169.02,177.78,167.9,176.65,310075876
2023-11-06,176.38,186.565,176.21,186.4,303653020
2023-11-13,185.82,190.96,184.21,189.69,262880715
2023-11-20,189.89,192.93,189.25,189.97,148351454
2023-11-27,189.92,192.09,188.19,191.24,216481441
2023-12-04,189.98,195.99,187.4511,195.71,251991667
2023-12-11,193.11,199.62,191.42,197.57,379414755
2023-12-18,196.09,197.68,192.97,193.6,232340846
2023-12-26,193.61,194.66,191.09,192.53,153729037
2024-01-02,187.15,188.44,180.17,181.18,275266365
2024-01-08,182.085,187.05,181.5,185.92,238385377
2024-01-16,182.16,191.95,180.3,191.56,259829213
2024-01-22,192.3,196.38,191.94,192.42,255536895
2024-01-29,192.01,192.2,179.25,185.85,325909883
2024-02-05,188.15,191.05,185.84,188.85,252715796
2024-02-12,188.415,188.67,181.35,182.31,268128941
2024-02-20,181.79,185.04,180,182.52,192607112
2024-02-26,182.24,183.9225,177.38,179.66,354385890
2024-03-04,176.15,176.9,168.49,170.73,393262265
2024-03-11,172.94,174.38,170.285,172.62,367119743
2024-03-18,175.57,178.67,170.06,172.28,361583938
2024-03-25,170.565,173.6,169.45,171.48,237622732
2024-04-01,171.19,171.92,168.2302,169.58,239070908
2024-04-08,169.03,178.36,167.11,176.55,322327219
2024-04-15,175.36,176.63,164.075,165,309416498
2024-04-22,165.515,171.34,164.77,169.3,241302722
2024-04-29,173.37,187,169.11,183.38,441926366
2024-05-06,182.354,185.09,180.42,183.05,300674993
2024-05-13,185.435,191.095,184.62,189.87,288966571
2024-05-20,189.325,192.8231,186.625,189.98,208652122
2024-05-28,191.51,193,189.1,192.25,230454285
2024-06-03,192.9,196.94,192.52,196.89,245994434
2024-06-10,196.9,220.2,192.15,212.49,635755143
2024-06-17,213.37,218.95,207.11,207.49,506265358
2024-06-24,207.72,216.07,206.59,210.62,335969485
2024-07-01,212.09,226.45,211.92,226.34,216231316
2024-07-08,227.09,233.08,223.25,230.54,287640514
2024-07-15,236.48,237.23,222.27,224.31,278397452
2024-07-22,227.01,227.78,214.62,217.96,242932215
2024-07-29,216.96,225.6,215.75,219.86,296061436
2024-08-05,199.09,216.78,196,216.24,342088289
2024-08-12,216.07,226.8271,215.6,226.05,214898250
2024-08-19,225.72,228.34,223.04,226.84,188124897
2024-08-26,226.76,232.92,223.8905,229,209486001
2024-09-03,228.55,229,217.48,220.82,179069179
2024-09-09,220.82,224.04,216.71,222.5,237622914
2024-09-16,216.54,233.09,213.92,228.2,550232897
2024-09-23,227.34,229.52,224.02,227.79,210673480
2024-09-30,230.04,233,223.02,226.8,222348300
2024-10-07,224.5,229.75,221.33,227.55,164894870
2024-10-14,228.7,237.49,228.6,235,218140974
2024-10-21,234.45,236.85,227.76,231.41,197299834
2024-10-28,233.32,234.73,220.27,222.91,248222115
2024-11-04,220.99,228.66,219.71,226.96,208083442
2024-11-11,225,228.87,221.5,225,223817755
2024-11-18,225.25,230.7199,225.17,229.87,196343939
2024-11-25,231.46,237.81,229.74,237.33,198118837
2024-12-02,237.27,244.63,237.16,242.84,208286552
2024-12-09,241.83,250.8,241.75,248.13,192702674
2024-12-16,247.99,255,245.69,254.49,368202745
2024-12-23,254.77,260.1,253.06,255.59,133711783
2024-12-30,252.23,253.5,241.8201,243.36,171023105
2025-01-06,244.31,247.33,233,236.85,185241327
2025-01-13,233.53,238.96,228.03,229.98,269145341
2025-01-21,224,227.03,219.38,222.78,277129596
2025-01-27,224.02,247.19,223.98,236,372790494
2025-02-03,229.99,234,225.7,227.63,227428164
2025-02-10,229.57,245.55,227.2,244.6,226587580
2025-02-18,244.15,248.69,241.84,245.55,166541044
2025-02-24,244.925,250,230.2,241.84,241760231
2025-03-03,241.79,244.0272,229.23,239.07,239653674
2025-03-10,235.54,236.16,208.42,213.49,332231986
2025-03-17,213.31,218.84,209.97,218.27,287881958
2025-03-24,221,225.02,217.68,217.9,190239113
2025-03-31,217.005,225.62,187.34,188.38,366947884
2025-04-07,177.2,200.61,169.2101,198.15,675037558
2025-04-14,211.44,212.94,192.37,196.98,264593881
